amount, greedy coins v1, greedy time v1, dp coins v1, dp time v1, greedy coins v2, greedy time v2, dp coins v2, dp time v2, 
2010 , 35 , 0.002704 , 35 , 4.66321 , 20 , 0.002169 , 20 , 3.45266
2015 , 38 , 0.002654 , 38 , 4.71515 , 18 , 0.002199 , 18 , 3.4704
2020 , 37 , 0.002676 , 36 , 4.67955 , 18 , 0.002414 , 18 , 3.494
2025 , 38 , 0.002665 , 37 , 4.7444 , 16 , 0.00212 , 16 , 3.48235
2030 , 35 , 0.002574 , 35 , 4.69792 , 16 , 0.002252 , 16 , 3.5346
2035 , 36 , 0.002656 , 36 , 4.77336 , 21 , 0.002131 , 19 , 3.5886
2040 , 34 , 0.002583 , 34 , 4.75884 , 19 , 0.002122 , 19 , 3.5178
2045 , 37 , 0.002877 , 37 , 4.77144 , 19 , 0.002143 , 19 , 3.55757
2050 , 37 , 0.002642 , 37 , 4.82921 , 17 , 0.00219 , 17 , 3.57547
2055 , 37 , 0.002577 , 37 , 4.81226 , 22 , 0.002127 , 19 , 3.59174
2060 , 37 , 0.00265 , 37 , 4.84621 , 22 , 0.002369 , 20 , 3.58847
2065 , 36 , 0.002584 , 36 , 4.82748 , 20 , 0.002142 , 20 , 3.61907
2070 , 36 , 0.002617 , 36 , 4.82128 , 20 , 0.002112 , 20 , 3.65508
2075 , 39 , 0.002664 , 39 , 4.82651 , 18 , 0.002131 , 18 , 3.58981
2080 , 38 , 0.002593 , 37 , 4.9205 , 18 , 0.002126 , 18 , 3.59278
2085 , 39 , 0.00259 , 38 , 4.87457 , 23 , 0.002178 , 20 , 3.64496
2090 , 36 , 0.002552 , 36 , 4.83376 , 21 , 0.002189 , 21 , 3.58128
2095 , 37 , 0.002599 , 37 , 4.90532 , 21 , 0.002233 , 21 , 3.58426
2100 , 35 , 0.002587 , 35 , 4.84706 , 14 , 0.002114 , 14 , 3.61518
2105 , 38 , 0.002556 , 38 , 4.86785 , 19 , 0.002135 , 19 , 3.66798
2110 , 38 , 0.002588 , 38 , 4.88527 , 19 , 0.002113 , 19 ,
