amount, greedy coins, greedy time, dp coins, dp time
2010 , 41 , 0.002138 , 41 , 3.37967
2015 , 42 , 0.002136 , 42 , 3.39256
2020 , 42 , 0.002181 , 42 , 3.42028
2025 , 41 , 0.002125 , 41 , 3.4096
2030 , 42 , 0.002278 , 42 , 3.41309
2035 , 42 , 0.00212 , 42 , 3.40577
2040 , 43 , 0.002126 , 43 , 3.43308
2045 , 43 , 0.002172 , 43 , 3.4413
2050 , 41 , 0.002146 , 41 , 3.4892
2055 , 42 , 0.00239 , 42 , 3.43409
2060 , 42 , 0.002132 , 42 , 3.47326
2065 , 43 , 0.002116 , 43 , 3.45883
2070 , 43 , 0.002124 , 43 , 3.44417
2075 , 42 , 0.002102 , 42 , 3.49894
2080 , 43 , 0.002115 , 43 , 3.55028
2085 , 43 , 0.002129 , 43 , 3.5207
2090 , 44 , 0.002117 , 44 , 3.51547
2095 , 44 , 0.002211 , 44 , 3.5197
2100 , 42 , 0.002089 , 42 , 3.54442
2105 , 43 , 0.002127 , 43 , 3.57812
2110 , 43 , 0.002166 , 43 , 3.57149
2115 , 44 , 0.002112 , 44 , 3.59001
2120 , 44 , 0.002267 , 44 , 3.56738
2125 , 43 , 0.00237 , 43 , 3.54797
2130 , 44 , 0.002114 , 44 , 3.5786
2135 , 44 , 0.002097 , 44 , 3.63435
2140 , 45 , 0.002103 , 45 , 3.61402
2145 , 45 , 0.002102 , 45 , 3.63954
2150 , 43 , 0.002137 , 43 , 3.62034
2155 , 44 , 0.002104 , 44 , 3.66065
2160 , 44 , 0.002145 , 44 , 3.66425
2165 , 45 , 0.002156 , 45 , 3.64831
2170 , 45 , 0.002115 , 45 , 3.64878
2175 , 44 , 0.002093 , 44 , 3.6546
2180 , 45 , 0.00211 , 45 , 3.6377
2185 , 45 , 0.002091 , 45 , 3.67051
2190 , 46 , 0.00211 , 46 , 3.72922
2195 , 46 , 0.002111 , 46 , 3.6946
2200 , 44 , 0.002088 , 44 , 3.67028
